                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0514,                 5.9358,                 2.0319,                0.01766,                0.48849,                0.08933,                0.07151,                 1.9011,                 7.1028,                  1.842,              0.0004287,              0.0004287,              0.0004287
                      2,                 2.1524,                 4.1917,                 2.0288,                0.29595,                0.19628,                0.24508,                0.18218,                  1.972,                 6.2287,                 1.8766,             0.00084292,             0.00084292,             0.00084292
                      3,                 2.0409,                 3.5621,                 2.0654,                0.84511,                0.07874,                0.44402,                0.31988,                 1.9848,                 5.2256,                 1.9498,              0.0012279,              0.0012279,              0.0012279
                      4,                 1.9987,                 3.1886,                 2.0502,                0.49626,                0.53093,                0.56879,                 0.4185,                 1.9811,                 3.4584,                 2.0833,              0.0012875,              0.0012875,              0.0012875
                      5,                 2.0134,                 2.9679,                 2.0453,                0.45398,                0.72975,                0.61132,                0.45067,                 1.8524,                 3.2007,                 1.9576,              0.0012404,              0.0012404,              0.0012404
                      6,                 1.9899,                  3.176,                 2.0517,                0.54601,                0.77722,                0.71865,                0.51234,                 1.8503,                 2.8989,                 1.9496,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.9464,                 2.5544,                 2.0041,                0.57984,                0.72497,                0.71527,                0.49465,                 1.8664,                 2.6497,                 1.9577,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.9317,                 2.3249,                  1.985,                0.68978,                0.70265,                0.77243,                0.57402,                 1.8091,                 2.3911,                 1.9163,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.9566,                 2.2538,                 1.9771,                0.61785,                0.82738,                0.77552,                0.56986,                 1.8472,                 2.4374,                 1.9545,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.8323,                   2.16,                  1.964,                0.69745,                0.76601,                0.79095,                0.60051,                  1.873,                 2.1766,                 1.9638,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.8047,                 2.0245,                 1.9537,                0.70961,                0.79788,                0.84791,                0.61492,                 1.8169,                 2.0905,                 1.9346,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.8493,                 1.9638,                  1.963,                0.76606,                0.77133,                0.84956,                0.62388,                 1.8274,                 1.9804,                 1.9353,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.8535,                 1.9374,                 1.9637,                0.72503,                0.79315,                0.84852,                 0.6257,                 1.8709,                 1.9712,                 1.9511,             0.00086312,             0.00086312,             0.00086312
                     14,                 1.8454,                  1.876,                 1.9504,                0.77636,                0.82031,                 0.8675,                0.63027,                 1.8404,                 1.9235,                 1.9604,             0.00081596,             0.00081596,             0.00081596
                     15,                 1.7616,                 1.8305,                 1.9126,                0.75578,                0.81905,                0.85473,                0.63376,                 1.8524,                  1.896,                 1.9665,              0.0007688,              0.0007688,              0.0007688
                     16,                 1.8197,                 1.7656,                 1.9326,                0.78635,                0.82421,                0.88007,                0.63964,                 1.8592,                 1.7825,                 1.9628,             0.00072164,             0.00072164,             0.00072164
                     17,                  1.669,                 1.7332,                 1.9219,                0.83401,                 0.8168,                0.89921,                0.65309,                 1.8057,                 1.7334,                 1.9437,             0.00067449,             0.00067449,             0.00067449
                     18,                 1.7344,                 1.6908,                 1.9165,                0.81089,                0.80883,                0.87375,                0.64819,                 1.7931,                 1.7414,                 1.9466,             0.00062733,             0.00062733,             0.00062733
                     19,                 1.7654,                 1.6806,                 1.9207,                 0.8113,                0.80429,                0.89537,                0.65441,                 1.8226,                   1.72,                 1.9542,             0.00058017,             0.00058017,             0.00058017
                     20,                 1.6836,                 1.6321,                  1.921,                0.85332,                0.83129,                0.90946,                0.67418,                 1.7908,                 1.5967,                 1.9478,             0.00053302,             0.00053302,             0.00053302
                     21,                 1.6325,                 1.7335,                 1.8916,                0.83293,                0.84423,                0.90419,                0.65686,                 1.8445,                 1.6173,                 1.9751,             0.00048586,             0.00048586,             0.00048586
                     22,                 1.6028,                 1.6692,                 1.8756,                0.82349,                0.84615,                0.91016,                0.65793,                 1.8178,                 1.5933,                 1.9759,              0.0004387,              0.0004387,              0.0004387
                     23,                 1.5814,                 1.6283,                 1.8782,                0.85429,                0.78333,                0.90082,                0.65698,                 1.8123,                 1.5856,                 1.9658,             0.00039155,             0.00039155,             0.00039155
                     24,                  1.588,                 1.6839,                 1.8764,                0.83419,                0.78187,                0.89773,                0.65871,                 1.8392,                 1.5913,                 1.9818,             0.00034439,             0.00034439,             0.00034439
                     25,                  1.564,                 1.5295,                 1.8452,                 0.7704,                0.81174,                0.89265,                0.66046,                 1.8018,                 1.6008,                 1.9569,             0.00029723,             0.00029723,             0.00029723
                     26,                 1.5603,                  1.492,                 1.8702,                0.87726,                0.76184,                0.90803,                0.65809,                 1.8217,                  1.609,                 1.9603,             0.00025007,             0.00025007,             0.00025007
                     27,                 1.5775,                 1.4896,                 1.8435,                0.84482,                0.81225,                0.90299,                0.66151,                 1.8107,                 1.6213,                 1.9595,             0.00020292,             0.00020292,             0.00020292
                     28,                 1.5077,                 1.4554,                 1.8447,                0.84969,                0.81076,                 0.9036,                0.66912,                 1.7944,                 1.5756,                 1.9595,             0.00015576,             0.00015576,             0.00015576
                     29,                 1.4965,                 1.4396,                 1.8259,                0.89647,                0.76548,                0.90888,                0.66321,                  1.801,                 1.5649,                 1.9707,              0.0001086,              0.0001086,              0.0001086
                     30,                 1.4758,                 1.4168,                 1.8221,                0.82541,                0.80072,                0.90871,                0.66244,                 1.8089,                 1.5645,                 1.9701,             6.1447e-05,             6.1447e-05,             6.1447e-05
